cultivo_id,nombre_cultivo,archivo_csv,municipios,municipios_cumple_todos,municipios_no_cumple,municipios_sin_datos,porcentaje_municipios_cumple_todos,promedio_cumplimiento_pdf
acelga,Acelga,data/mapas_pdf_crudo/cultivo_acelga.parquet,2457,87,2370,0,3.5,70.1
acerola,Acerola,data/mapas_pdf_crudo/cultivo_acerola.parquet,2457,9,2448,0,0.4,72.5
agave_pulquero,Agave pulquero,data/mapas_pdf_crudo/cultivo_agave_pulquero.parquet,2457,146,2311,0,5.9,69.9
agave_tequilero,Agave tequilero,data/mapas_pdf_crudo/cultivo_agave_tequilero.parquet,2457,0,2457,0,0.0,77.4
aguacate,Aguacate,data/mapas_pdf_crudo/cultivo_aguacate.parquet,2457,89,2368,0,3.6,84.1
ajo,Ajo,data/mapas_pdf_crudo/cultivo_ajo.parquet,2457,4,2453,0,0.2,71.9
ajonjoli,Ajonjolí,data/mapas_pdf_crudo/cultivo_ajonjoli.parquet,2457,0,2457,0,0.0,60.6
alcachofa,Alcachofa,data/mapas_pdf_crudo/cultivo_alcachofa.parquet,2457,0,2457,0,0.0,69.9
algodon,Algodón,data/mapas_pdf_crudo/cultivo_algodon.parquet,2457,299,2158,0,12.2,82.0
almendro,Almendro,data/mapas_pdf_crudo/cultivo_almendro.parquet,2457,1023,1434,0,41.6,87.1
amaranto,Amaranto,data/mapas_pdf_crudo/cultivo_amaranto.parquet,2457,2208,249,0,89.9,98.3
anis,Anís,data/mapas_pdf_crudo/cultivo_anis.parquet,2457,845,1612,0,34.4,67.2
apio,Apio,data/mapas_pdf_crudo/cultivo_apio.parquet,2457,0,2457,0,0.0,66.4
arandano,Arándano,data/mapas_pdf_crudo/cultivo_arandano.parquet,2457,0,2457,0,0.0,62.0
arroz,Arroz,data/mapas_pdf_crudo/cultivo_arroz.parquet,2457,310,2147,0,12.6,79.3
ave_de_paraiso,Ave de paraíso,data/mapas_pdf_crudo/cultivo_ave_de_paraiso.parquet,2457,0,2457,0,0.0,71.5
avellana,Avellana,data/mapas_pdf_crudo/cultivo_avellana.parquet,2457,43,2414,0,1.8,70.2
avena,Avena,data/mapas_pdf_crudo/cultivo_avena.parquet,2457,0,2457,0,0.0,79.0
berenjena,Berenjena,data/mapas_pdf_crudo/cultivo_berenjena.parquet,2457,113,2344,0,4.6,75.1
betabel,Betabel,data/mapas_pdf_crudo/cultivo_betabel.parquet,2457,256,2201,0,10.4,81.5
brocoli,Brócoli,data/mapas_pdf_crudo/cultivo_brocoli.parquet,2457,0,2457,0,0.0,75.6
cacahuate,Cacahuate,data/mapas_pdf_crudo/cultivo_cacahuate.parquet,2457,13,2444,0,0.5,70.3
cacao,Cacao,data/mapas_pdf_crudo/cultivo_cacao.parquet,2457,0,2457,0,0.0,49.2
cafe,Café,data/mapas_pdf_crudo/cultivo_cafe.parquet,2457,0,2457,0,0.0,71.8
calabacita,Calabacita,data/mapas_pdf_crudo/cultivo_calabacita.parquet,2457,270,2187,0,11.0,83.4
calabaza,Calabaza,data/mapas_pdf_crudo/cultivo_calabaza.parquet,2457,663,1794,0,27.0,87.0
camote,Camote,data/mapas_pdf_crudo/cultivo_camote.parquet,2457,15,2442,0,0.6,69.9
cana_de_azucar,Caña de azúcar,data/mapas_pdf_crudo/cultivo_cana_de_azucar.parquet,2457,0,2457,0,0.0,62.3
canela,Canela,data/mapas_pdf_crudo/cultivo_canela.parquet,2457,0,2457,0,0.0,18.5
canola,Canola,data/mapas_pdf_crudo/cultivo_canola.parquet,2457,0,2457,0,0.0,71.7
carambolo,Carambolo,data/mapas_pdf_crudo/cultivo_carambolo.parquet,2457,238,2219,0,9.7,74.9
cartamo,Cártamo,data/mapas_pdf_crudo/cultivo_cartamo.parquet,2457,0,2457,0,0.0,75.9
cebada,Cebada,data/mapas_pdf_crudo/cultivo_cebada.parquet,2457,0,2457,0,0.0,74.3
cebolla,Cebolla,data/mapas_pdf_crudo/cultivo_cebolla.parquet,2457,105,2352,0,4.3,76.4
cempazuchitl,Cempazúchitl,data/mapas_pdf_crudo/cultivo_cempazuchitl.parquet,2457,0,2457,0,0.0,71.0
chabacano,Chabacano,data/mapas_pdf_crudo/cultivo_chabacano.parquet,2457,0,2457,0,0.0,71.4
chayote,Chayote,data/mapas_pdf_crudo/cultivo_chayote.parquet,2457,0,2457,0,0.0,73.8
chia,Chía,data/mapas_pdf_crudo/cultivo_chia.parquet,2457,308,2149,0,12.5,67.5
chicharo,Chícharo,data/mapas_pdf_crudo/cultivo_chicharo.parquet,2457,0,2457,0,0.0,70.4
chicozapote,Chicozapote,data/mapas_pdf_crudo/cultivo_chicozapote.parquet,2457,4,2453,0,0.2,64.6
chile_de_arbol,Chile de árbol,data/mapas_pdf_crudo/cultivo_chile_de_arbol.parquet,2457,0,2457,0,0.0,57.8
chile_dulce,Chile dulce,data/mapas_pdf_crudo/cultivo_chile_dulce.parquet,2457,184,2273,0,7.5,80.4
chile_habanero,Chile habanero,data/mapas_pdf_crudo/cultivo_chile_habanero.parquet,2457,0,2457,0,0.0,65.8
chirimoya,Chirimoya,data/mapas_pdf_crudo/cultivo_chirimoya.parquet,2457,540,1917,0,22.0,85.0
cilantro,Cilantro,data/mapas_pdf_crudo/cultivo_cilantro.parquet,2457,0,2457,0,0.0,84.9
ciruela_mexicana,Ciruela mexicana,data/mapas_pdf_crudo/cultivo_ciruela_mexicana.parquet,2457,0,2457,0,0.0,63.7
ciruelo_europeo,Ciruelo europeo,data/mapas_pdf_crudo/cultivo_ciruelo_europeo.parquet,2457,0,2457,0,0.0,80.3
cocotero,Cocotero,data/mapas_pdf_crudo/cultivo_cocotero.parquet,2457,5,2452,0,0.2,44.4
col,Col,data/mapas_pdf_crudo/cultivo_col.parquet,2457,0,2457,0,0.0,79.0
coliflor,Coliflor,data/mapas_pdf_crudo/cultivo_coliflor.parquet,2457,0,2457,0,0.0,75.4
durazno,Durazno,data/mapas_pdf_crudo/cultivo_durazno.parquet,2457,0,2457,0,0.0,71.8
